container.title,created,doi,title,type,first.author,authors
Philosophical Transactions of the Royal Society B: Biological Sciences,2021-06-28,10.1098/rstb.2020.0479,Heart rate as a measure of emotional arousal in evolutionary biology,journal-article,Wascher,Claudia A. F. Wascher
NA,2016-11-06,10.1101/085944,Stable multi-level social structure is maintained by habitat geometry in a wild bird population,posted-content,Farine,"Damien R. Farine, Ben C. Sheldon"
NA,2017-07-26,10.1101/168021,A cross-validation-based approach for delimiting reliable home range estimates,posted-content,Dougherty,"Eric R Dougherty, Colin J Carlson, Jason K Blackburn, Wayne M Getz"
NA,2020-02-11,10.1101/2020.02.10.941278,Revisiting reptile home ranges: moving beyond traditional estimators with dynamic Brownian Bridge Movement Models,posted-content,Silva,"Inês Silva, Matt Crane, Benjamin Michael Marshall, Colin Thomas Strine"
NA,2020-02-26,10.1101/2020.02.25.963926,High-resolution animal tracking with integration of environmental information in aquatic systems,posted-content,Francisco,"Fritz A Francisco, Paul Nührenberg, Alex Jordan"
NA,2020-07-30,10.1101/2020.07.28.224766,Three-dimensional random walk models of individual animal movement and their application to trap counts modelling,posted-content,Ahmed,"DA Ahmed, S Benhamou, MB Bonsall, SV Petrovskii"
NA,2021-01-28,10.1101/2021.01.27.428481,Games of risk and reward in carnivore communities,posted-content,Ruprecht,"Joel Ruprecht, Charlotte E. Eriksson, Tavis D. Forrester, Derek B. Spitz, Darren A. Clark, Michael J. Wisdom, Marcus Bianco, Mary M. Rowland, Joshua B. Smith, Bruce K. Johnson, Taal Levi"
NA,2021-03-03,10.1101/2021.03.02.433605,"Death comes for us all: an interplay of habitat selection, movement, and social behavior relate to cause specific mortality among grey wolves",posted-content,Turner,"Julie W. Turner, Christina M. Prokopenko, Katrien A. Kingdon, Daniel L. J. Dupont, Sana Zabihi-Seissan, Eric Vander Wal"
NA,2021-03-10,10.1101/2021.03.09.434640,Movement patterns and activity levels are shaped by the neonatal environment in Antarctic fur seal pups,posted-content,Nagel,"Rebecca Nagel, Sina Mews, Timo Adam, Claire Stainfield, Cameron Fox-Clarke, Camille Toscani, Roland Langrock, Jaume Forcada, Joseph I. Hoffman"
NA,2021-08-04,10.1101/2021.08.02.454456,"pamlr: a toolbox for analysing animal behaviour using pressure, acceleration, temperature, magnetic and light data in R",posted-content,Dhanjal-Adams,"Kiran L. Dhanjal-Adams, Astrid S. T. Willener, Felix Liechti"
NA,2021-08-11,10.1101/2021.08.10.455788,Echolocating whales use ultra-fast echo-kinetic responses to track evasive prey,posted-content,Vance,"Heather Margaret Vance, Peter Teglberg Madsen, Natacha Aguilar de Soto, Danuta Maria Wisniewska, Michael Ladegaard, Sascha Kate Hooker, Mark Johnson"
NA,2021-09-10,10.1101/2021.09.08.459477,Malayan kraits (<i>Bungarus candidus</i>) show affinity to anthropogenic structures in a human dominated landscape,posted-content,Hodges,"Cameron Wesley Hodges, Benjamin Michael Marshall, Jacques George Hill, Colin Thomas Strine"
NA,2021-09-27,10.1101/2021.09.26.461870,Ecological and social pressures interfere with homeostatic sleep regulation in the wild,posted-content,Loftus,"JC Loftus, R Harel, CL Nuñez, MC Crofoot"
NA,2021-10-07,10.1101/2021.10.05.463224,At a snail’s pace: the influence of habitat disturbance on terrestrial snail movement using experimentally manipulated mesocosms,posted-content,Denief,"Emily E. Denief, Julie W. Turner, Christina M. Prokopenko, Alec L. Robitaille, Eric Vander Wal"
NA,2021-10-16,10.1101/2021.10.15.464547,Accounting for animal movement improves vaccination strategies against wildlife disease in heterogeneous landscapes,posted-content,McClure,"Katherine M. McClure, Guillaume Bastille-Rousseau, Amy J. Davis, Carolyn A. Stengel, Kathleen Nelson, Richard B. Chipman, George Wittemyer, Zaid Abdo, Amy T. Gilbert, Kim M. Pepin"
NA,2021-12-10,10.1101/2021.12.09.472008,Time-dependent memory and individual variation in Arctic brown bears (<i>Ursus arctos</i>),posted-content,Thompson,"Peter R. Thompson, Mark A. Lewis, Mark A. Edwards, Andrew E. Derocher"
NA,2022-05-19,10.1101/2022.04.21.489059,Mitigating pseudoreplication and bias in resource selection functions with autocorrelation-informed weighting,posted-content,Alston,"Jesse M. Alston, Christen H. Fleming, Roland Kays, Jarryd P. Streicher, Colleen T. Downs, Tharmalingam Ramesh, Justin M. Calabrese"
NA,2022-05-29,10.1101/2022.05.28.493822,"Trade-offs in telemetry tag programming for deep-diving cetaceans: data longevity, resolution, and continuity",posted-content,Cioffi,"William R Cioffi, Nicola J Quick, Zachary T Swaim, Heather J Foley, Danielle M Waples, Daniel L Webster, Robin W Baird, Brandon L Southall, Douglas P Nowacek, Andrew J Read"
