container.title,created,doi,title,type,first.author,authors
Ecology and Evolution,2019-02-22,10.1002/ece3.4740,A comparison of techniques for classifying behavior from accelerometers for two species of seabird,journal-article,Patterson,"Allison Patterson, Hugh Grant Gilchrist, Lorraine Chivers, Scott Hatch, Kyle Elliott"
Journal of Comparative Physiology B,2010-05-25,10.1007/s00360-010-0480-z,Variation in the daily rhythm of body temperature of free-living Arabian oryx (Oryx leucoryx): does water limitation drive heterothermy?,journal-article,Hetem,"Robyn Sheila Hetem, Willem Maartin Strauss, Linda Gayle Fick, Shane Kevin Maloney, Leith Carl Rodney Meyer, Mohammed Shobrak, Andrea Fuller, Duncan Mitchell"
Deep Sea Research Part II: Topical Studies in Oceanography,2007-02-16,10.1016/j.dsr2.2006.11.009,Bio-logging of physiological parameters in higher marine vertebrates,journal-article,Ponganis,Paul J. Ponganis
Journal of Experimental Marine Biology and Ecology,2010-02-17,10.1016/j.jembe.2010.01.012,Accelerating estimates of activity-specific metabolic rate in fishes: Testing the applicability of acceleration data-loggers,journal-article,Gleiss,"Adrian C. Gleiss, Jonathan J. Dale, Kim N. Holland, Rory P. Wilson"
Journal of Experimental Marine Biology and Ecology,2016-11-02,10.1016/j.jembe.2016.10.019,"Swimming speeds and metabolic rates of semi-captive juvenile lemon sharks (Negaprion brevirostris, Poey) estimated with acceleration biologgers",journal-article,Bouyoucos,"Ian A. Bouyoucos, Daniel W. Montgomery, Jacob W. Brownscombe, Steven J. Cooke, Cory D. Suski, John W. Mandelman, Edward J. Brooks"
Journal of Theoretical Biology,2004-06-02,10.1016/j.jtbi.2004.03.016,How to reliably estimate the tortuosity of an animal's path:,journal-article,Benhamou,Simon Benhamou
Progress in Oceanography,2010-09-30,10.1016/j.pocean.2010.09.025,Linking foraging behaviour to physical oceanographic structures: Southern elephant seals and mesoscale eddies east of Kerguelen Islands,journal-article,Dragon,"Anne-Cecile Dragon, P. Monestiez, A. Bar-Hen, C. Guinet"
Trends in Ecology &amp; Evolution,2009-09-12,10.1016/j.tree.2009.07.013,Behavioural reaction norms: animal personality meets individual plasticity,journal-article,Dingemanse,"Niels J. Dingemanse, Anahita J.N. Kazem, Denis Réale, Jonathan Wright"
The American Naturalist,2002-07-26,10.1086/282454,On Optimal Use of a Patchy Environment,journal-article,MacArthur,"Robert H. MacArthur, Eric R. Pianka"
Physiological and Biochemical Zoology,2010-10-20,10.1086/656336,Physiological Responses of Free-Swimming Adult Coho Salmon to Simulated Predator and Fisheries Encounters,journal-article,Donaldson,"M. R. Donaldson, T. D. Clark, S. G. Hinch, S. J. Cooke, D. A. Patterson, M. K. Gale, P. B. Frappell, A. P. Farrell"
Royal Society Open Science,2016-10-26,10.1098/rsos.160406,"Relations between morphology, buoyancy and energetics of requiem sharks",journal-article,Iosilevskii,"Gil Iosilevskii, Yannis P. Papastamatiou"
Proceedings of the Royal Society of London. Series B: Biological Sciences,2004-10-26,10.1098/rspb.2004.2863,Sperm whale behaviour indicates the use of echolocation click buzzes ‘creaks’ in prey capture,journal-article,Miller,"P. J. O. Miller, M. P. Johnson, P. L. Tyack"
Proceedings of the Royal Society B: Biological Sciences,2009-03-16,10.1098/rspb.2008.1577,"Migration and stopover in a small pelagic seabird, the Manx shearwater<i>Puffinus puffinus</i>: insights from machine learning",journal-article,Guilford,"T Guilford, J Meade, J Willis, R.A Phillips, D Boyle, S Roberts, M Collett, R Freeman, C.M Perrins"
Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences,2006-12-19,10.1098/rstb.1995.0146,The energy expenditure of free-ranging black-browed albatross,journal-article,,
Functional Ecology,2016-08-09,10.1111/1365-2435.12729,Accelerometers can measure total and activity‐specific energy expenditures in free‐ranging marine mammals only if linked to time‐activity budgets,journal-article,Jeanniard‐du‐Dot,"Tiphaine Jeanniard‐du‐Dot, Christophe Guinet, John P.Y. Arnould, John R. Speakman, Andrew W. Trites"
Methods in Ecology and Evolution,2013-10-31,10.1111/2041-210x.12109,Calculating the ecological impacts of animal-borne instruments on aquatic organisms,journal-article,Todd Jones,"T. Todd Jones, Kyle S. Van Houtan, Brian L. Bostrom, Peter Ostafichuk, Jon Mikkelsen, Emre Tezcan, Michael Carey, Brittany Imlach, Jeffrey A. Seminoff"
Journal of Animal Ecology,2005-12-20,10.1111/j.1365-2656.2005.01033.x,"Hunt warm, rest cool: bioenergetic strategy underlying diel vertical migration of a benthic shark",journal-article,SIMS,"DAVID W. SIMS, VICTORIA J. WEARMOUTH, EMILY J. SOUTHALL, JACQUELINE M. HILL, PIPPA MOORE, KATE RAWLINSON, NEIL HUTCHINSON, GEORGINA C. BUDD, DAVID RIGHTON, JULIAN D. METCALFE, JON P. NASH, DAVID MORRITT"
Fish and Fisheries,2004-03-25,10.1111/j.1467-2960.2004.00136.x,Activity and energetics of free-swimming fish: insights from electromyogram telemetry,journal-article,Cooke,"Steven J Cooke, Eva B Thorstad, Scott G Hinch"
Science,2007-10-05,10.1126/science.1146788,Video Cameras on Wild Birds,journal-article,Rutz,"Christian Rutz, Lucas A. Bluff, Alex A. S. Weir, Alex Kacelnik"
Science,2011-03-31,10.1126/science.1199158,Differences in Thermal Tolerance Among Sockeye Salmon Populations,journal-article,Eliason,"Erika J. Eliason, Timothy D. Clark, Merran J. Hague, Linda M. Hanson, Zoë S. Gallagher, Ken M. Jeffries, Marika K. Gale, David A. Patterson, Scott G. Hinch, Anthony P. Farrell"
Science,2013-06-07,10.1126/science.1236077,Space Partitioning Without Territoriality in Gannets,journal-article,Wakefield,"Ewan D. Wakefield, Thomas W. Bodey, Stuart Bearhop, Jez Blackburn, Kendrew Colhoun, Rachel Davies, Ross G. Dwyer, Jonathan A. Green, David Grémillet, Andrew L. Jackson, Mark J. Jessopp, Adam Kane, Rowena H. W. Langston, Amélie Lescroël, Stuart Murray, Mélanie Le Nuz, Samantha C. Patrick, Clara Péron, Louise M. Soanes, Sarah Wanless, Stephen C. Votier, Keith C. Hamer"
Science,2017-12-07,10.1126/science.aao2740,"Paradoxical escape responses by narwhals (
            <i>Monodon monoceros</i>
            )",journal-article,Williams,"Terrie M. Williams, Susanna B. Blackwell, Beau Richter, Mikkel-Holger S. Sinding, Mads Peter Heide-Jørgensen"
Science,2019-12-13,10.1126/science.aax9044,Why whales are big but not bigger: Physiological drivers and ecological limits in the age of ocean giants,journal-article,Goldbogen,"J. A. Goldbogen, D. E. Cade, D. M. Wisniewska, J. Potvin, P. S. Segre, M. S. Savoca, E. L. Hazen, M. F. Czapanskiy, S. R. Kahane-Rapport, S. L. DeRuiter, S. Gero, P. Tønnesen, W. T. Gough, M. B. Hanson, M. M. Holt, F. H. Jensen, M. Simon, A. K. Stimpert, P. Arranz, D. W. Johnston, D. P. Nowacek, S. E. Parks, F. Visser, A. S. Friedlaender, P. L. Tyack, P. T. Madsen, N. D. Pyenson"
Movement Ecology,2014-02-07,10.1186/2051-3933-2-4,Applications of step-selection functions in ecology and conservation,journal-article,Thurfjell,"Henrik Thurfjell, Simone Ciuti, Mark S Boyce"
Animal Biotelemetry,2015-10-21,10.1186/s40317-015-0086-z,The use of external electronic tags on fish: an evaluation of tag retention and tagging effects,journal-article,Jepsen,"Niels Jepsen, Eva B. Thorstad, Torgeir Havn, Martyn C. Lucas"
Journal of Experimental Biology,2004-02-07,10.1242/jeb.00822,"The cost of foraging by a marine predator, the Weddell seal<i>Leptonychotes weddellii</i>: pricing by the stroke",journal-article,Williams,"Terrie M. Williams, Lee A. Fuiman, Markus Horning, Randall W. Davis"
Journal of Experimental Biology,2008-11-14,10.1242/jeb.023366,Foraging behavior of humpback whales: kinematic and respiratory patterns suggest a high cost for a lunge,journal-article,Goldbogen,"Jeremy A. Goldbogen, John Calambokidis, Donald A. Croll, James T. Harvey, Kelly M. Newton, Erin M. Oleson, Greg Schorr, Robert E. Shadwick"
Journal of Experimental Biology,2010-12-08,10.1242/jeb.048157,"Mechanics, hydrodynamics and energetics of blue whale lunge feeding: efficiency dependence on krill density",journal-article,Goldbogen,"J. A. Goldbogen, J. Calambokidis, E. Oleson, J. Potvin, N. D. Pyenson, G. Schorr, R. E. Shadwick"
Journal of Experimental Biology,2013-07-10,10.1242/jeb.084251,"Aerobic scope measurements of fishes in an era of climate change: respirometry, relevance and recommendations",journal-article,Clark,"Timothy D. Clark, Erik Sandblom, Fredrik Jutfelt"
Journal of Experimental Biology,2021-04-25,10.1242/jeb.200.15.2083,Heart rates of northern elephant seals diving at sea and resting on the beach.,journal-article,Andrews,"R D Andrews, D R Jones, J D Williams, P H Thorson, G W Oliver, D P Costa, B J Le Boeuf"
Journal of Experimental Biology,2021-04-25,10.1242/jeb.205.9.1189,Buoyancy and maximal diving depth in penguins,journal-article,Sato,"Katsufumi Sato, Y. Naito, A. Kato, Y. Niizuma, Y. Watanuki, J. B. Charrassin, C.-A. Bost, Y. Handrich, Y. Le Maho"
PLoS ONE,2012-05-15,10.1371/journal.pone.0036728,"Foraging Behavior and Success of a Mesopelagic Predator in the Northeast Pacific Ocean: Insights from a Data-Rich Species, the Northern Elephant Seal",journal-article,Robinson,"Patrick W. Robinson, Daniel P. Costa, Daniel E. Crocker, Juan Pablo Gallo-Reynoso, Cory D. Champagne, Melinda A. Fowler, Chandra Goetsch, Kimberly T. Goetz, Jason L. Hassrick, Luis A. Hückstädt, Carey E. Kuhn, Jennifer L. Maresh, Sara M. Maxwell, Birgitte I. McDonald, Sarah H. Peterson, Samantha E. Simmons, Nicole M. Teutschel, Stella Villegas-Amtmann, Ken Yoda"
PLoS ONE,2014-03-26,10.1371/journal.pone.0092633,First Long-Term Behavioral Records from Cuvier’s Beaked Whales (Ziphius cavirostris) Reveal Record-Breaking Dives,journal-article,Schorr,"Gregory S. Schorr, Erin A. Falcone, David J. Moretti, Russel D. Andrews"
Marine Ecology Progress Series,2012-06-04,10.3354/meps09857,Ontogeny in marine tagging and tracking science: technologies and data gaps,journal-article,Hazen,"EL Hazen, SM Maxwell, H Bailey, SJ Bograd, M Hamann, P Gaspar, BJ Godley, GL Shillinger"
Marine Ecology Progress Series,2007-08-13,10.3354/meps279283,Foraging tactics of Baikal seals differ between day and night,journal-article,Watanabe,"Y Watanabe, EA Baranov, K Sato, Y Naito, N Miyazaki"
Ecosphere,2016-06-06,10.1002/ecs2.1213,Circumpolar habitat use in the southern elephant seal: implications for foraging success and population trajectories,journal-article,Hindell,"Mark A. Hindell, Clive R. McMahon, Marthán N. Bester, Lars Boehme, Daniel Costa, Mike A. Fedak, Christophe Guinet, Laura Herraiz‐Borreguero, Robert G. Harcourt, Luis Huckstadt, Kit M. Kovacs, Christian Lydersen, Trevor McIntyre, Monica Muelbert, Toby Patterson, Fabien Roquet, Guy Williams, Jean‐Benoit Charrassin"
Statistics and Computing,2010-04-07,10.1007/978-1-4419-0318-1,Mixed-Effects Models in Sand S-PLUS,book,Pinheiro,"José C. Pinheiro, Douglas M. Bates"
Zoophysiology,2011-11-28,10.1007/978-3-642-83602-2,Diverse Divers,book,Kooyman,Gerald L. Kooyman
Journal of Comparative Physiology B,2009-02-27,10.1007/s00360-009-0349-1,Sex differences in circulatory oxygen transport parameters of sockeye salmon (Oncorhynchus nerka) on the spawning ground,journal-article,Clark,"Timothy Darren Clark, S. G. Hinch, B. D. Taylor, P. B. Frappell, A. P. Farrell"
Reviews in Fish Biology and Fisheries,2013-10-05,10.1007/s11160-013-9328-4,A review of detection range testing in aquatic passive acoustic telemetry studies,journal-article,Kessel,"S. T. Kessel, S. J. Cooke, M. R. Heupel, N. E. Hussey, C. A. Simpfendorfer, S. Vagle, A. T. Fisk"
Aquaculture,2019-05-07,10.1016/j.aquaculture.2019.05.007,Prospects and pitfalls of using heart rate bio-loggers to assess the welfare of rainbow trout (Oncorhynchus mykiss) in aquaculture,journal-article,Brijs,"J. Brijs, E. Sandblom, M. Rosengren, K. Sundell, C. Berg, M. Axelsson, A. Gräns"
Current Biology,2012-09-10,10.1016/j.cub.2012.06.037,Automated mapping of social networks in wild birds,journal-article,Rutz,"Christian Rutz, Zackory T. Burns, Richard James, Stefanie M.H. Ismar, John Burt, Brian Otis, Jayson Bowen, James J.H. St Clair"
Current Biology,2016-05-26,10.1016/j.cub.2016.03.069,Ultra-High Foraging Rates of Harbor Porpoises Make Them Vulnerable to Anthropogenic Disturbance,journal-article,Wisniewska,"Danuta Maria Wisniewska, Mark Johnson, Jonas Teilmann, Laia Rojano-Doñate, Jeanne Shearer, Signe Sveegaard, Lee A. Miller, Ursula Siebert, Peter Teglberg Madsen"
Deep Sea Research Part II: Topical Studies in Oceanography,2012-09-23,10.1016/j.dsr2.2012.09.002,"Identifying foraging events in deep diving southern elephant seals, Mirounga leonina, using acceleration data loggers",journal-article,Gallon,"S. Gallon, F. Bailleul, J.-B. Charrassin, C. Guinet, C.-A. Bost, Y. Handrich, M. Hindell"
Environmental Modelling &amp; Software,2011-01-09,10.1016/j.envsoft.2010.12.005,The Movebank data model for animal tracking,journal-article,Kranstauber,"B. Kranstauber, A. Cameron, R. Weinzerl, T. Fountain, S. Tilak, M. Wikelski, R. Kays"
Journal of Experimental Marine Biology and Ecology,2011-02-02,10.1016/j.jembe.2010.12.012,A review of shark satellite tagging studies,journal-article,Hammerschlag,"N. Hammerschlag, A.J. Gallagher, D.M. Lazarre"
Trends in Ecology &amp; Evolution,2007-12-01,10.1016/j.tree.2007.09.007,A new ‘view’ of ecology and conservation through animal-borne video systems,journal-article,Moll,"Remington J. Moll, Joshua J. Millspaugh, Jeff Beringer, Joel Sartwell, Zhihai He"
Nature,2003-08-13,10.1038/343746a0,Satellite tracking of Wandering albatrosses,journal-article,Jouventin,"Pierre Jouventin, Henri Weimerskirch"
Nature,2008-02-27,10.1038/nature06518,Scaling laws of marine predator search behaviour,journal-article,Sims,"David W. Sims, Emily J. Southall, Nicolas E. Humphries, Graeme C. Hays, Corey J. A. Bradshaw, Jonathan W. Pitchford, Alex James, Mohammed Z. Ahmed, Andrew S. Brierley, Mark A. Hindell, David Morritt, Michael K. Musyl, David Righton, Emily L. C. Shepard, Victoria J. Wearmouth, Rory P. Wilson, Matthew J. Witt, Julian D. Metcalfe"
The American Naturalist,2006-02-06,10.1086/499439,A Phylogenetic Analysis of the Allometry of Diving,journal-article,Halsey,"Lewis G. Halsey, Patrick J. Butler, Tim M. Blackburn"
Journal of Animal Ecology,2015-04-23,10.1111/1365-2656.12379,What is the animal doing? Tools for exploring behavioural structure in animal movements,journal-article,Gurarie,"Eliezer Gurarie, Chloe Bracis, Maria Delgado, Trevor D. Meckley, Ilpo Kojola, C. Michael Wagner"
Journal of Applied Ecology,2016-07-20,10.1111/1365-2664.12755,Integrating research using animal-borne telemetry with the needs of conservation management,journal-article,McGowan,"Jennifer McGowan, Maria Beger, Rebecca L. Lewison, Rob Harcourt, Hamish Campbell, Mark Priest, Ross G. Dwyer, Hsien-Yung Lin, Pia Lentini, Christine Dudgeon, Clive McMahon, Matt Watts, Hugh P. Possingham"
Methods in Ecology and Evolution,2015-12-15,10.1111/2041-210x.12528,Integrated step selection analysis: bridging the gap between resource selection and animal movement,journal-article,Avgar,"Tal Avgar, Jonathan R. Potts, Mark A. Lewis, Mark S. Boyce"
Diversity and Distributions,2016-01-13,10.1111/ddi.12411,Applying global criteria to tracking data to define important areas for marine conservation,journal-article,Lascelles,"B. G. Lascelles, P. R. Taylor, M. G. R. Miller, M. P. Dias, S. Oppel, L. Torres, A. Hedd, M. Le Corre, R. A. Phillips, S. A. Shaffer, H. Weimerskirch, C. Small"
Ecography,2014-07-15,10.1111/ecog.01021,Important marine habitat off east Antarctica revealed by two decades of multi-species predator tracking,journal-article,Raymond,"Ben Raymond, Mary-Anne Lea, Toby Patterson, Virginia Andrews-Goff, Ruth Sharples, Jean-Benoît Charrassin, Manuelle Cottin, Louise Emmerson, Nick Gales, Rosemary Gales, Simon D. Goldsworthy, Rob Harcourt, Akiko Kato, Roger Kirkwood, Kieran Lawton, Yan Ropert-Coudert, Colin Southwell, John van den Hoff, Barbara Wienecke, Eric J. Woehler, Simon Wotherspoon, Mark A. Hindell"
Journal of Fish Biology,2005-04-01,10.1111/j.1095-8649.1996.tb00019.x,The limitations of heart rate as a predictor of metabolic rate in fish,journal-article,Thorarensen,"H. Thorarensen, P. E. Gallaugher, A. P. Farrell"
Journal of Fish Biology,2005-10-27,10.1111/j.1095-8649.2005.00830.x,Coupling non-invasive physiological assessments with telemetry to understand inter-individual variation in behaviour and survivorship of sockeye salmon: development and validation of a technique,journal-article,Cooke,"S. J. Cooke, G. T. Crossin, D. A. Patterson, K. K. English, S. G. Hinch, J. L. Young, R. F. Alexander, M. C. Healey, G. Van Der Kraak, A. P. Farrell"
Functional Ecology,2011-01-10,10.1111/j.1365-2435.2010.01806.x,Hypometabolism and basking: the strategies of Alpine ibex to endure harsh over-wintering conditions,journal-article,Signer,"Claudio Signer, Thomas Ruf, Walter Arnold"
Ecology Letters,2011-11-12,10.1111/j.1461-0248.2011.01713.x,Estimating updraft velocity components over large spatial scales: contrasting migration strategies of golden eagles and turkey vultures,journal-article,Bohrer,"Gil Bohrer, David Brandes, James T. Mandel, Keith L. Bildstein, Tricia A. Miller, Michael Lanzone, Todd Katzner, Charles Maisonneuve, Junior A. Tremblay"
Ecography,2008-02-04,10.1111/j.2007.0906-7590.05236.x,Estimating space-use and habitat preference from wildlife telemetry data,journal-article,Aarts,"Geert Aarts, Monique MacKenzie, Bernie McConnell, Mike Fedak, Jason Matthiopoulos"
Science Advances,2015-10-03,10.1126/sciadv.1500469,"Blue whales (
            <i>Balaenoptera musculus</i>
            ) optimize foraging efficiency by balancing oxygen use and energy gain as a function of prey density",journal-article,Hazen,"Elliott Lee Hazen, Ari Seth Friedlaender, Jeremy Arthur Goldbogen"
Science,2008-10-30,10.1126/science.1163156,Physiology and Climate Change,journal-article,Pörtner,"Hans O. Pörtner, Anthony P. Farrell"
Science,2015-06-18,10.1126/science.aaa5099,Shared decision-making drives collective movement in wild baboons,journal-article,Strandburg-Peshkin,"Ariana Strandburg-Peshkin, Damien R. Farine, Iain D. Couzin, Margaret C. Crofoot"
Canadian Journal of Zoology,2008-04-29,10.1139/z97-004,Drift diving in female northern elephant seals: implications for food processing,journal-article,Crocker,"Daniel E. Crocker, Burney J. Le Boeuf, Daniel P. Costa"
Annual Review of Physiology,2004-02-11,10.1146/annurev.physiol.66.032102.114245,Field Physiology: Physiological Insights from Animals in Nature,journal-article,Costa,"Daniel P. Costa, Barry Sinervo"
Animal Biotelemetry,2017-03-29,10.1186/s40317-017-0123-1,Super machine learning: improving accuracy and reducing variance of behaviour classification from accelerometry,journal-article,Ladds,"Monique A. Ladds, Adam P. Thompson, Julianna-Piroska Kadar, David J Slip, David P Hocking, Robert G Harcourt"
Movement Ecology,2015-09-21,10.1186/s40462-015-0056-3,Prying into the intimate secrets of animal lives; software beyond hardware for comprehensive annotation in ‘Daily Diary’ tags,journal-article,Walker,"James S. Walker, Mark W. Jones, Robert S. Laramee, Mark D. Holton, Emily LC Shepard, Hannah J. Williams, D. Michael Scantlebury, Nikki, J. Marks, Elizabeth A. Magowan, Iain E. Maguire, Owen R. Bidder, Agustina Di Virgilio, Rory P. Wilson"
NA,2017-03-21,10.1201/9781315117744,Animal Movement,book,Hooten,"Mevin B. Hooten, Devin S. Johnson, Brett T. McClintock, Juan M. Morales"
Journal of Experimental Biology,2011-09-28,10.1242/jeb.031252,In pursuit of Irving and Scholander: a review of oxygen store management in seals and penguins,journal-article,Ponganis,"Paul J. Ponganis, Jessica U. Meir, Cassondra L. Williams"
Journal of Experimental Biology,2011-10-26,10.1242/jeb.058263,Penguin head movement detected using small accelerometers: a proxy of prey encounter rate,journal-article,Kokubun,"Nobuo Kokubun, Jeong-Hoon Kim, Hyoung-Chul Shin, Yasuhiko Naito, Akinori Takahashi"
Journal of Experimental Biology,2021-04-25,10.1242/jeb.200.4.661,"Heart rates and abdominal temperatures of free-ranging South Georgian shags, Phalacrocorax georgianus",journal-article,Bevan,"R M Bevan, I L Boyd, P J Butler, K Reid, A J Woakes, J P Croxall"
PLoS ONE,2010-11-11,10.1371/journal.pone.0013956,Flight Modes in Migrating European Bee-Eaters: Heart Rate May Indicate Low Metabolic Rate during Soaring and Gliding,journal-article,Sapir,"Nir Sapir, Martin Wikelski, Marshall D. McCue, Berry Pinshow, Ran Nathan"
PLoS ONE,2014-03-26,10.1371/journal.pone.0092657,Excess Baggage for Birds: Inappropriate Placement of Tags on Gannets Changes Flight Patterns,journal-article,Vandenabeele,"Sylvie P. Vandenabeele, Edward Grundy, Michael I. Friswell, Adam Grogan, Stephen C. Votier, Rory P. Wilson"
PLOS ONE,2015-06-24,10.1371/journal.pone.0128789,Identification of Prey Captures in Australian Fur Seals (Arctocephalus pusillus doriferus) Using Head-Mounted Accelerometers: Field Validation with Animal-Borne Video Cameras,journal-article,Volpov,"Beth L. Volpov, Andrew J. Hoskins, Brian C. Battaile, Morgane Viviant, Kathryn E. Wheatley, Greg Marshall, Kyler Abernathy, John P. Y. Arnould"
The Auk,2009-08-04,10.1525/auk.2009.08245,Central-place Foraging in an Arctic Seabird Provides Evidence for Storer-Ashmole's Halo,journal-article,Elliott,"Kyle H. Elliott, Kerry J. Woo, Anthony J. Gaston, Silvano Benvenuti, Luigi Dall'Antonia, Gail K. Davoren"
Journal of Statistical Software,2017-08-28,10.18637/jss.v080.i01,<b>brms</b>: An <i>R</i> Package for Bayesian Multilevel Models Using <i>Stan</i>,journal-article,Bürkner,Paul-Christian Bürkner
Ecology,2007-06-04,10.1890/04-1866,PREY DISTRIBUTION AND PATCHINESS: FACTORS IN FORAGING SUCCESS AND EFFICIENCY OF WANDERING ALBATROSSES,journal-article,Weimerskirch,"Henri Weimerskirch, Agnès Gault, Yves Cherel"
Ecology,2008-12-09,10.1890/08-0162.1,ANIMAL MOVEMENTS IN HETEROGENEOUS LANDSCAPES: IDENTIFYING PROFITABLE PLACES AND HOMOGENEOUS MOVEMENT BOUTS,journal-article,Barraquand,"Frédéric Barraquand, Simon Benhamou"
Journal of Wildlife Management,2006-06-30,10.2193/0022-541x(2005)69[1346:qhotio]2.0.co;2,QUANTIFYING HOME-RANGE OVERLAP: THE IMPORTANCE OF THE UTILIZATION DISTRIBUTION,journal-article,FIEBERG,"JOHN FIEBERG, CHRISTOPHER O. KOCHANNY"
Ecology,2006-05-09,10.2307/1939832,Recording Devices on Free-Ranging Marine Animals: Does Measurement Affect Foraging Performance?,journal-article,Wilson,"Rory P. Wilson, W. Stewart Grant, David C. Duffy"
African Journal of Marine Science,2014-12-07,10.2989/1814232x.2014.976655,Trends in tagging of marine mammals: a review of marine mammal biologging studies,journal-article,McIntyre,T McIntyre
The R Journal,2019-04-10,10.32614/rj-2017-066,glmmTMB Balances Speed and Flexibility Among Packages for Zero-inflated Generalized Linear Mixed Modeling,journal-article,Brooks,"Mollie,E. Brooks, Kasper Kristensen, Koen,J.,van Benthem, Arni Magnusson, Casper,W. Berg, Anders Nielsen, Hans,J. Skaug, Martin Mächler, Benjamin,M. Bolker"
Endangered Species Research,2009-09-29,10.3354/esr00238,Satellite telemetry of marine megavertebrates: the coming of age of an experimental science,journal-article,Hart,"KM Hart, KD Hyrenbach"
Marine Ecology Progress Series,2012-01-10,10.3354/meps09371,Active hunting by deep-diving sperm whales: 3D dive profiles and maneuvers during bursts of speed,journal-article,Aoki,"K Aoki, M Amano, K Mori, A Kourogi, T Kubodera, N Miyazaki"
Marine Ecology Progress Series,2014-03-18,10.3354/meps10786,Foraging behaviour and activity of a marine benthivorous fish estimated using tri-axial accelerometer biologgers,journal-article,Brownscombe,"JW Brownscombe, LFG Gutowsky, AJ Danylchuk, SJ Cooke"
PeerJ,2018-05-23,10.7717/peerj.4794,A brief introduction to mixed effects modelling and multi-model inference in ecology,journal-article,Harrison,"Xavier A. Harrison, Lynda Donaldson, Maria Eugenia Correa-Cano, Julian Evans, David N. Fisher, Cecily E.D. Goodwin, Beth S. Robinson, David J. Hodgson, Richard Inger"
Wildlife Society Bulletin,2012-02-10,10.1002/wsb.111,Accelerometer-informed GPS telemetry: Reducing the trade-off between resolution and longevity,journal-article,Brown,"Danielle D. Brown, Scott LaPoint, Roland Kays, Wolfgang Heidrich, Franz Kümmeth, Martin Wikelski"
Journal of Comparative Physiology ? B,2004-11-29,10.1007/bf00691568,Aerobic and anaerobic metabolism during voluntary diving in Weddell seals: Evidence of preferred pathways from blood chemsitry and behavior,journal-article,Kooyman,"G. L. Kooyman, E. A. Wahrenbrock, M. A. Castellini, R. W. Davis, E. E. Sinnett"
Marine Biology,2005-03-27,10.1007/bf01344309,Movements of blue sharks (Prionace glauca) in depth and course,journal-article,Carey,"F. G. Carey, J. V. Scharold, Ad. J. Kalmijn"
Marine Biology,2011-09-10,10.1007/s00227-011-1784-6,When three per cent may not be three per cent; device-equipped seabirds experience variable flight constraints,journal-article,Vandenabeele,"Sylvie P. Vandenabeele, Emily L. Shepard, Adam Grogan, Rory P. Wilson"
Marine Biology,2018-03-08,10.1007/s00227-018-3318-y,Development and application of a machine learning algorithm for classification of elasmobranch behaviour from accelerometry data,journal-article,Brewster,"L. R. Brewster, J. J. Dale, T. L. Guttridge, S. H. Gruber, A. C. Hansell, M. Elliott, I. G. Cowx, N. M. Whitney, A. C. Gleiss"
Marine Biology,2003-02-12,10.1007/s002270100659,"Lip-reading in remote subjects: an attempt to quantify and separate ingestion, breathing and vocalisation in free-living animals using penguins as a model",journal-article,R.,"Wilson R., Steinfurth A., Ropert-Coudert Y., Kato A., Kurita M."
Animal Behaviour,2009-02-13,10.1016/j.anbehav.2008.12.022,The repeatability of behaviour: a meta-analysis,journal-article,Bell,"Alison M. Bell, Shala J. Hankison, Kate L. Laskowski"
Animal Behaviour,2009-10-16,10.1016/j.anbehav.2009.09.023,Guidelines for the instrumentation of wild birds and mammals,journal-article,Casper,Ruth M. Casper
Applied Animal Behaviour Science,2005-03-11,10.1016/j.applanim.2005.01.010,A new technique for monitoring the detailed behaviour of terrestrial animals: A case study with the domestic cat,journal-article,Watanabe,"Shinichi Watanabe, Masako Izawa, Akiko Kato, Yan Ropert-Coudert, Yasuhiko Naito"
Aquaculture,2018-06-30,10.1016/j.aquaculture.2018.06.081,The final countdown: Continuous physiological welfare evaluation of farmed fish during common aquaculture practices before and during harvest,journal-article,Brijs,"Jeroen Brijs, Erik Sandblom, Michael Axelsson, Kristina Sundell, Henrik Sundh, David Huyben, Rosita Broström, Anders Kiessling, Charlotte Berg, Albin Gräns"
Comparative Biochemistry and Physiology Part A: Molecular &amp; Integrative Physiology,2012-12-13,10.1016/j.cbpa.2012.12.002,Calibrating acoustic acceleration transmitters for estimating energy use by wild adult Pacific salmon,journal-article,Wilson,"S.M. Wilson, S.G. Hinch, E.J. Eliason, A.P. Farrell, S.J. Cooke"
Current Biology,2015-01-08,10.1016/j.cub.2014.11.010,Bats Aggregate to Improve Prey Search but Might Be Impaired when Their Density Becomes Too High,journal-article,Cvikel,"Noam Cvikel, Katya Egert Berg, Eran Levin, Edward Hurme, Ivailo Borissov, Arjan Boonman, Eran Amichai, Yossi Yovel"
Fisheries Research,2016-06-23,10.1016/j.fishres.2016.06.003,"A novel method for determining post-release mortality, behavior, and recovery period using acceleration data loggers",journal-article,Whitney,"Nicholas M. Whitney, Connor F. White, Adrian C. Gleiss, Gail D. Schwieterman, Paul Anderson, Robert E. Hueter, Gregory B. Skomal"
Journal of Experimental Marine Biology and Ecology,2015-12-06,10.1016/j.jembe.2015.11.002,A float-release package for recovering data-loggers from wild sharks,journal-article,Whitmore,"Benjamin M. Whitmore, Connor F. White, Adrian C. Gleiss, Nicholas M. Whitney"
