container.title,created,doi,title,type,first.author,authors
Deep Sea Research Part II: Topical Studies in Oceanography,2007-03-22,10.1016/j.dsr2.2006.11.017,All at sea with animal tracks; methodological and analytical solutions for the resolution of movement,journal-article,Wilson,"Rory P. Wilson, Nikolai Liebsch, Ian M. Davies, Flavio Quintana, Henri Weimerskirch, Sandra Storch, Klaus Lucke, Ursula Siebert, Solvin Zankl, Gabriele Müller, Ilka Zimmer, Alejandro Scolaro, Claudio Campagna, Jochen Plötz, Horst Bornemann, Jonas Teilmann, Clive R. McMahon"
Methods in Ecology and Evolution,2016-04-21,10.1111/2041-210x.12578,"moveHMM: an
            <scp>R</scp>
            package for the statistical modelling of animal movement data using hidden Markov models",journal-article,Michelot,"Théo Michelot, Roland Langrock, Toby A. Patterson"
Ecology Letters,2009-03-10,10.1111/j.1461-0248.2009.01293.x,A novel method for identifying behavioural changes in animal movement data,journal-article,Gurarie,"Eliezer Gurarie, Russel D. Andrews, Kristin L. Laidre"
Science,2018-01-25,10.1126/science.aam9712,Moving in the Anthropocene: Global reductions in terrestrial mammalian movements,journal-article,Tucker,"Marlee A. Tucker, Katrin Böhning-Gaese, William F. Fagan, John M. Fryxell, Bram Van Moorter, Susan C. Alberts, Abdullahi H. Ali, Andrew M. Allen, Nina Attias, Tal Avgar, Hattie Bartlam-Brooks, Buuveibaatar Bayarbaatar, Jerrold L. Belant, Alessandra Bertassoni, Dean Beyer, Laura Bidner, Floris M. van Beest, Stephen Blake, Niels Blaum, Chloe Bracis, Danielle Brown, P. J. Nico de Bruyn, Francesca Cagnacci, Justin M. Calabrese, Constança Camilo-Alves, Simon Chamaillé-Jammes, Andre Chiaradia, Sarah C. Davidson, Todd Dennis, Stephen DeStefano, Duane Diefenbach, Iain Douglas-Hamilton, Julian Fennessy, Claudia Fichtel, Wolfgang Fiedler, Christina Fischer, Ilya Fischhoff, Christen H. Fleming, Adam T. Ford, Susanne A. Fritz, Benedikt Gehr, Jacob R. Goheen, Eliezer Gurarie, Mark Hebblewhite, Marco Heurich, A. J. Mark Hewison, Christian Hof, Edward Hurme, Lynne A. Isbell, René Janssen, Florian Jeltsch, Petra Kaczensky, Adam Kane, Peter M. Kappeler, Matthew Kauffman, Roland Kays, Duncan Kimuyu, Flavia Koch, Bart Kranstauber, Scott LaPoint, Peter Leimgruber, John D. C. Linnell, Pascual López-López, A. Catherine Markham, Jenny Mattisson, Emilia Patricia Medici, Ugo Mellone, Evelyn Merrill, Guilherme de Miranda Mourão, Ronaldo G. Morato, Nicolas Morellet, Thomas A. Morrison, Samuel L. Díaz-Muñoz, Atle Mysterud, Dejid Nandintsetseg, Ran Nathan, Aidin Niamir, John Odden, Robert B. O’Hara, Luiz Gustavo R. Oliveira-Santos, Kirk A. Olson, Bruce D. Patterson, Rogerio Cunha de Paula, Luca Pedrotti, Björn Reineking, Martin Rimmler, Tracey L. Rogers, Christer Moe Rolandsen, Christopher S. Rosenberry, Daniel I. Rubenstein, Kamran Safi, Sonia Saïd, Nir Sapir, Hall Sawyer, Niels Martin Schmidt, Nuria Selva, Agnieszka Sergiel, Enkhtuvshin Shiilegdamba, João Paulo Silva, Navinder Singh, Erling J. Solberg, Orr Spiegel, Olav Strand, Siva Sundaresan, Wiebke Ullmann, Ulrich Voigt, Jake Wall, David Wattles, Martin Wikelski, Christopher C. Wilmers, John W. Wilson, George Wittemyer, Filip Zięba, Tomasz Zwijacz-Kozica, Thomas Mueller"
Movement Ecology,2015-09-15,10.1186/s40462-015-0055-4,Step by step: reconstruction of terrestrial animal movement paths by dead-reckoning,journal-article,Bidder,"O. R. Bidder, J. S. Walker, M. W. Jones, M. D. Holton, P. Urge, D. M. Scantlebury, N. J. Marks, E. A. Magowan, I. E. Maguire, R. P. Wilson"
Journal of Experimental Biology,2014-04-16,10.1242/jeb.100016,"What a jerk: prey engulfment revealed by high-rate, super-cranial accelerometry on a harbour seal (<i>Phoca vitulina</i>)",journal-article,Ydesen,"Kristina S. Ydesen, Danuta M. Wisniewska, Janni D. Hansen, Kristian Beedholm, Mark Johnson, Peter T. Madsen"
Journal of Experimental Biology,2021-04-25,10.1242/jeb.202.22.3121,Precise monitoring of porpoising behaviour of Adelie penguins determined using acceleration data loggers,journal-article,Yoda,"K. Yoda, K. Sato, Y. Niizuma, M. Kurita, C. Bost, Y. Le Maho, Y. Naito"
PLoS ONE,2012-05-31,10.1371/journal.pone.0037997,From Sensor Data to Animal Behaviour: An Oystercatcher Example,journal-article,Shamoun-Baranes,"Judy Shamoun-Baranes, Roeland Bom, E. Emiel van Loon, Bruno J. Ens, Kees Oosterbeek, Willem Bouten"
Marine Ecology Progress Series,2013-08-23,10.3354/meps10528,"Estimating activity-specific energy expenditure in a teleost fish, using accelerometer loggers",journal-article,Wright,"S Wright, JD Metcalfe, S Hetherington, R Wilson"
Marine Biology,2013-07-24,10.1007/s00227-013-2288-3,Contrasting diel patterns in vertical movement and locomotor activity of whale sharks at Ningaloo Reef,journal-article,Gleiss,"Adrian C. Gleiss, Serena Wright, Nikolai Liebsch, Rory P. Wilson, Brad Norman"
Polar Biology,2009-11-30,10.1007/s00300-009-0750-y,Prey capture attempts can be detected in Steller sea lions and other marine predators using accelerometers,journal-article,Viviant,"Morgane Viviant, Andrew W. Trites, David A. S. Rosen, Pascal Monestiez, Christophe Guinet"
Trends in Ecology &amp; Evolution,2005-11-12,10.1016/j.tree.2005.10.018,Conservation physiology,journal-article,Wikelski,"Martin Wikelski, Steven J. Cooke"
Proceedings of the National Academy of Sciences,2010-01-12,10.1073/pnas.0909493107,"Tracking of Arctic terns
            <i>Sterna paradisaea</i>
            reveals longest animal migration",journal-article,Egevang,"Carsten Egevang, Iain J. Stenhouse, Richard A. Phillips, Aevar Petersen, James W. Fox, Janet R. D. Silk"
Proceedings of the Royal Society of London. Series B: Biological Sciences,2002-07-26,10.1098/rspb.2000.1223,Fast and fuel efficient? Optimal use of wind by flying albatrosses,journal-article,Weimerskirch,"H. Weimerskirch, T. Guionnet, J. Martin, S. A. Shaffer, D. P. Costa"
Functional Ecology,2013-03-07,10.1111/1365-2435.12083,Unravelling the mysteries of a mesopelagic diet: a large apex predator specializes on small prey,journal-article,Naito,"Yasuhiko Naito, Daniel P. Costa, Taiki Adachi, Patrick W. Robinson, Melinda Fowler, Akinori Takahashi"
Methods in Ecology and Evolution,2018-03-03,10.1111/2041-210x.12995,"momentuHMM:
            <scp>R</scp>
            package for generalized hidden Markov models of animal movement",journal-article,McClintock,"Brett T. McClintock, Théo Michelot"
Ecology Letters,2011-07-26,10.1111/j.1461-0248.2011.01662.x,The ecological causes of individual specialisation,journal-article,Araújo,"Márcio S. Araújo, Daniel I. Bolnick, Craig A. Layman"
Science,2002-07-27,10.1126/science.283.5404.993,Hunting Behavior of a Marine Mammal Beneath the Antarctic Fast Ice,journal-article,Davis,"R. W. Davis, L. A. Fuiman, T. M. Williams, S. O. Collier, W. P. Hagey, S. B. Kanatous, S. Kohin, M. Horning"
Movement Ecology,2015-01-23,10.1186/s40462-015-0030-0,"Movement, resting, and attack behaviors of wild pumas are revealed by tri-axial accelerometer measurements",journal-article,Wang,"Yiwei Wang, Barry Nickel, Matthew Rutishauser, Caleb M Bryce, Terrie M Williams, Gabriel Elkaim, Christopher C Wilmers"
Journal of Experimental Biology,2004-04-23,10.1242/jeb.00993,"Swimming gaits, passive drag and buoyancy of diving sperm whales<i>Physeter macrocephalus</i>",journal-article,Miller,"Patrick J. O. Miller, Mark P. Johnson, Peter L. Tyack, Eugene A. Terray"
Journal of Experimental Biology,2006-10-18,10.1242/jeb.02505,Extreme diving of beaked whales,journal-article,Tyack,"Peter L. Tyack, Mark Johnson, Natacha Aguilar Soto, Albert Sturlese, Peter T. Madsen"
Frontiers in Ecology and the Environment,2007-06-06,10.1890/1540-9295(2006)004[0147:mdowaw]2.0.co;2,Measuring devices on wild animals: what constitutes acceptable practice?,journal-article,Wilson,"Rory P. Wilson, Clive R. McMahon"
Marine Ecology Progress Series,2010-12-22,10.3354/meps08980,Yo-yo vertical movements suggest a foraging strategy for tiger sharks Galeocerdo cuvier,journal-article,Nakamura,"I Nakamura, YY Watanabe, YP Papastamatiou, K Sato, CG Meyer"
Current Biology,2016-09-27,10.1016/j.cub.2016.05.033,Bio-logging,journal-article,Fehlmann,"Gaëlle Fehlmann, Andrew J. King"
